"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"3D Point Cloud Instance Segmentation of Lettuce Based on PartNet","L. Wang; L. Zheng; M. Wang","Key Lab of Smart Agriculture Systems, Ministry of Education, China Agricultural University, Beijing, PR China; Key Lab of Smart Agriculture Systems, Ministry of Education, China Agricultural University, Beijing, PR China; Key Lab of Smart Agriculture Systems, Ministry of Education, China Agricultural University, Beijing, PR China",2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),"23 Aug 2022","2022","","","1646","1654","Organ level instance segmentation (e.g., individual leaves) based on computer vision techniques is a key step in the measurement of plant phenotypes. Since plant organs, especially leaves, are self-occluded and emerged-occluded, single-view images affect the acquisition of some effective information. However, 3D global images contain much more plant morphological information than single-view images, and it is of great significance for plant phenotype research. In this paper, lettuce was taken as the research object, its 3D point cloud images were obtained and instance segmentation was carried out based on the deep learning method. The result showed that the 3D point cloud of each leaf was segmented and identified accurately. Specifically, we constructed a lettuce point cloud dataset consisting of 620 real and synthetic point clouds and fused them together to train a 3D instance segmentation network—PartNet, which directly takes 3D point clouds as input and its output is the instance segmentation results of leaves. The experimental results showed that, when tested with 40 point clouds in the validation set, the metric Average Precision (%) with IoU threshold being 0.25 reached 97.2%, and with IoU threshold being 0.5 reached 92.4% respectively, indicating that the constructed PartNet network has the potential to accurately segment the 3D point cloud leaf instances for lettuce.","2160-7516","978-1-6654-8739-9","10.1109/CVPRW56347.2022.00171","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9857228","","Point cloud compression;Training;Image segmentation;Solid modeling;Computer vision;Three-dimensional displays;Pipelines","","14","","24","IEEE","23 Aug 2022","","","IEEE","IEEE Conferences"
"Interactive Cultivation System for the Future IoT-Based Agriculture","K. Veloo; H. Kojima; S. Takata; M. Nakamura; H. Nakajo","Dept. of Computer and Information Sciences, Tokyo University of Agriculture and Technology, Tokyo, Japan; Dept. of Computer and Information Sciences, Tokyo University of Agriculture and Technology, Tokyo, Japan; Dept. of Computer and Information Sciences, Tokyo University of Agriculture and Technology, Tokyo, Japan; Tokyo Metropolitan Industrial Technology Research Institute, Tokyo, Japan; Dept. of Computer and Information Sciences, Tokyo University of Agriculture and Technology, Tokyo, Japan",2019 Seventh International Symposium on Computing and Networking Workshops (CANDARW),"9 Jan 2020","2019","","","298","304","As initiatives to increase Japan's declining food self-sufficiency rate and revitalize the field of agriculture, the concept of smart agriculture and urban agriculture are currently being implemented. Automation via Artificial Intelligence is expected to overcome the labor shortage in the agricultural industry. However, the number of skilled farmers who can contribute to gathering crop growth data required for machine learning is restricted, and these data are also limited to local-and environmental-based conditions. In this paper, we propose a system for obtaining composite growth data in various environments and crops targeted for home gardens and paddy fields. An interactive cultivation sensing system consisting of IoT-based technologies is designed and realized to ensure the continuous growth of crops in optimum conditions daily. With this, progress will be made in determining the efficient cultivation conditions for machine learning, and in finding solutions to future problems of agriculture.","","978-1-7281-5268-4","10.1109/CANDARW.2019.00059","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8951520","smart agriculture;urban agriculture;Internet of Things (IOT);Artificial Intelligence (AI);embedded system","Smart agriculture;Temperature sensors;Temperature distribution;Urban agriculture;Crops;Machine learning;Cameras;Servers;Internet of Things;Intelligent sensors","","14","","27","IEEE","9 Jan 2020","","","IEEE","IEEE Conferences"
"Internet-of-Things Enabled Smart and Portable Terrace Garden Protection Shed","A. Kukreti; A. Shriyal; S. Sharma; S. Bhadula","Department of Computer Science and Engineering, Graphic Era Deemed to be University, Dehradun, India; Department of Computer Science and Engineering, Graphic Era Deemed to be University, Dehradun, India; Department of Computer Science and Engineering, Graphic Era Deemed to be University, Dehradun, India; Department of Computer Science and Engineering, Graphic Era Deemed to be University, Dehradun, India",2023 4th IEEE Global Conference for Advancement in Technology (GCAT),"19 Dec 2023","2023","","","1","6","The Internet of Things (IoT) offers effective smart monitoring solutions for cost-effective, quality-driven services in the agricultural sector. Ecologists advocate the developing trends in terrace gardening techniques for growing organic plants despite varied space limits for sustainable development in large cities. Due to the deteriorating environmental inhabitants, followed by pollution and building debris residual atmosphere surrounding, factors like decreasing air quality, humidity, and temperature are influencing the normal growth of the plants in such cities, leading to inferior plant production. By constructing a smart shed environment with real-time measurement of moisture content, temperature, and humidity from the air through smart IoT devices with sensors, the automated model recommends a way for protecting plant life and demonstrating an efficient lengthier growth outcome. When activated, the automated shed covers the terrace garden and stimulates the environment as needed. The shed is also automated for heavy unpredictable weather conditions like heavy rainfall and gales. The automated shed scans through the plant image and analyses the natural temperature and humidity requirements with collected data information stored in smart database system for efficient growth of the plant. In order to prevent parched crops, it may also assess the amount of water needed and send out an alert when the required minimum level is reached. It can be further enhanced with automatic sprinkler systems or for fighting excessive water through externally integrated water outlet systems. Future terrace gardening techniques can be integrated with various environmental standards in agriculture and farming, benefiting the entire cultural system with effective monitoring and real-time automated sheds using IoT devices with sensors and connectivity with weather invigilation systems closely monitoring a number of challenges and benefits.","","979-8-3503-0525-8","10.1109/GCAT59970.2023.10353281","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10353281","IoT;Terrace Gardening;smart agriculture","Temperature sensors;Temperature measurement;Atmospheric measurements;Urban areas;Humidity;Real-time systems;Agriculture","","14","","15","IEEE","19 Dec 2023","","","IEEE","IEEE Conferences"
"A Systematic Mapping of Artificial Intelligence Solutions for Sustainability Challenges in Latin America and the Caribbean","J. Salas; G. Patterson; F. de Barros Vidal","Instituto Politécnico Nacional, México, México; Industrial researcher and member of the nonprofit organization Climate Change AI.; University of Brasilia, Brazil",IEEE Latin America Transactions,"28 Sep 2022","2022","20","11","2312","2329","The environmental health of Latin America and the Caribbean (LAC) is crucial to the survival of the planet. LAC countries occupy 13% of the Earths landmass yet contain 60% of the terrestrial life. The region is particularly brittle as climate change looms on the horizon, and its economic reliance on exploiting natural resources is accelerating its biodiversity loss. Central to these problems is that LAC is the most economically unequal region globally. Thus, it faces unique challenges in promoting sustainable development. This paper explores whether and how Artificial Intelligence (AI) may provide methods to accelerate the changes needed to increase resilience and facilitate adaptation. Starting with a systematic mapping of the research on AI for sustainability in LAC, we present a diagnosis of the current situation structured along the proposed axes of climate change, human vulnerability, and biodiversity. Then, we give some illustrative examples of potential directions for further work with applicability to the region. Due to its often overlooked resources, capabilities, and particularly fragile geolocation, LAC is called to play an oversize role in the planets sustainability in the coming decades.","1548-0992","","10.1109/TLA.2022.9904756","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9904756","Artificial Intelligence;AI;Machine Learning;ML;Climate Change;Sustainability;Biodiversity;Data Science","Artificial intelligence;Sustainable development;Climate change;Meteorology;Biodiversity;Systematics;Employment","","13","","","IEEE","28 Sep 2022","","","IEEE","IEEE Journals"
"Emerging Technologies for Sustainable Agriculture: The Power of Humans and the Way Ahead","M. Louta; K. Banti; I. Karampelia","Department of Electrical and Computer Engineering, University of Western Macedonia, Kozani, Greece; Department of Electrical and Computer Engineering, University of Western Macedonia, Kozani, Greece; Department of Electrical and Computer Engineering, University of Western Macedonia, Kozani, Greece",IEEE Access,"22 Jul 2024","2024","12","","98492","98529","Agriculture plays a critical role in society, providing sustenance, contributing to economic growth, and addressing global hunger and malnutrition challenges. However, the environmental impact of agriculture, including water consumption, greenhouse gas emissions, and soil pollution, poses significant challenges. The advent of agriculture revolution 4.0, characterized by automated and data-driven smart farming, offers opportunities to enhance sustainability and climate resilience. Information and communication technologies (ICT), particularly Next Generation Internet of Things (NG-IoT), coupled with remote sensing, robotics, and artificial intelligence (AI), facilitate data-driven decision-making and optimization of agricultural activities. This paper reviews emerging ICT technologies in agriculture to provide a comprehensive understanding of the challenges and opportunities in achieving sustainable agriculture through these technologies. Furthermore, we emphasize the significance of human-centered systems and explainable AI for achieving sustainability in agriculture, highlighting the essential role of user-centric design and transparent decision-making processes in shaping the future of smart farming. Finally, we present real projects in Greece that utilize many of the aforementioned technologies, showcasing their outstanding performance in the field of smart agriculture and providing future directions towards incorporating human involvement, enhancing reliability, and explainability.","2169-3536","","10.1109/ACCESS.2024.3428401","European Union’s Horizon Europe Framework Programme (HORIZON)(grant numbers:101135422 (UNIVERSWATER)); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10597387","Sustainable agriculture;emerging technologies;next-generation Internet of Things (NG-IoT);human-centric sensing (HCS);explainable artificial intelligence (XAI)","Agriculture;Artificial intelligence;Soil;Sustainable development;Smart agriculture;Crops;Sensors;Internet of Things;Human factors","","13","","262","CCBYNCND","15 Jul 2024","","","IEEE","IEEE Journals"
"AI-Driven Agriculture: Opportunities and Challenges","E. Vocaturo; G. Rani; V. S. Dhaka; E. Zumpano","DIMES, University of Calabria, NANOTEC National Research Council, Rende, (CS), Italy; Manipal University, Jaipur, India; Manipal University, Jaipur, India; DIMES, University of Calabria, NANOTEC National Research Council, Rende, (CS), Italy",2023 IEEE International Conference on Big Data (BigData),"22 Jan 2024","2023","","","3530","3537","Agriculture is a vital industry for both the world’s food supply and economic health. The increasing global population and the demand for sustainable food production have led to the emergence of Artificial Intelligence (AI) as a game-changing technology to tackle agricultural issues. In this article, we explore the opportunities and challenges of AI-driven agriculture and provide an overview of the most promising applications and related ethical and practical issues.","","979-8-3503-2445-7","10.1109/BigData59044.2023.10386314","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10386314","Artificial Intelligence;Agriculture","Ethics;Smart cities;Sociology;Agriculture;Security;Resource management;Artificial intelligence","","12","","49","IEEE","22 Jan 2024","","","IEEE","IEEE Conferences"
"An Efficient Algorithm for Plant Disease Detection Using Deep Convolutional Networks","P. Nayar; S. Chhibber; A. K. Dubey","Dept of Electronics & Communication Engineering, Amity School of Engineering and Technology, Amity University Uttar Pradesh, Noida, Uttar Pradesh, India; Dept of Electronics & Communication Engineering, Amity School of Engineering and Technology, Amity University Uttar Pradesh, Noida, Uttar Pradesh, India; Dept of Electronics & Communication Engineering, Amity School of Engineering and Technology, Amity University Uttar Pradesh, Noida, Uttar Pradesh, India",2022 14th International Conference on Computational Intelligence and Communication Networks (CICN),"13 Jan 2023","2022","","","156","160","Plant diseases and pests are important factors in determining crop yield and quality. Plant diseases are not only a threat to food security on a global scale but can also have devastating consequences for farmers whose livelihood depend on healthy crops. The detection of plant diseases is of fundamental importance in practical agricultural production. It controls the growth and health of the plant and ensures the regular operation and successful harvest of agricultural plantations. The disease affecting the plants is determined by factors such as the climate. This paper examines an alternative approach to developing a disease detection model supported by leaf classification using deep convolutional networks. Growth in computer vision present a scope to broaden and boost the practice of precision crop protection and expand the market for computer vision applications in precision agriculture, a completely unique form of training and therefore the technique used allows for quick and direct implementation of the system in practice. The database used in this paper consists of 77,000 images of healthy and infected plant leaves. We were able to train a CNN model for classifying plant diseases that is, they are present or not, and then another model was trained with YOLOv7 to detect the disease. The trained classification model achieved an accuracy of 99.5% and the detection model was able to achieve mA$P$, precision, recall of 0.65, 0.59and 0.65 respectively.","2472-7555","978-1-6654-8771-9","10.1109/CICN56167.2022.10008235","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10008235","Deep Convolutional Neural Network;Deep Learning;Plant Disease Detection;Yolo","Training;Computer vision;Computational modeling;Plants (biology);Neurons;Crops;Production","","12","","13","IEEE","13 Jan 2023","","","IEEE","IEEE Conferences"
"Improved Feature Selection Method for the Identification of Soil Images Using Oscillating Spider Monkey Optimization","R. Agarwal; N. S. Shekhawat; S. Kumar; A. Nayyar; B. Qureshi","Department of Computer Science and Engineering, Engineering College Bikaner, Bikaner, India; Department of Computer Science and Engineering, Engineering College Bikaner, Bikaner, India; Department of Computer Science and Engineering, CHRIST (Deemed to be University), Bengaluru, Karnataka, India; Graduate School, Duy Tan University, Da Nang, Vietnam; Department of Computer Science, Prince Sultan University, Riyadh, Saudi Arabia",IEEE Access,"24 Dec 2021","2021","9","","167128","167139","Precision agriculture is the process that uses information and communication technology for farming and cultivation to improve overall productivity, efficient utilization of resources. Soil prediction is one of the primary phases in precision agriculture, resulting in good quality crops. In general, farmers perform the soil prediction manually. However, the efficiency of soil prediction may be enhanced by using current digital technologies. One effective way to automate soil prediction is image processing techniques in which soil images may be analyzed to determine the soil. This paper presents an efficient image analysis technique to predict the soil. For the same, a robust feature selection technique has been incorporated in the image analysis of soil images. The developed feature selection technique uses a new oscillating spider monkey optimization algorithm (OSMO) for the selection of features that are relevant and non-redundant. The new oscillating spider monkey optimization algorithm increases precision and convergence behavior by using an oscillating perturbation rate. A set of standard benchmark functions was deployed to visualize the performance of the new optimization technique (OSMO), and results were compared based on mean and standard deviation. Furthermore, the soil prediction approach is validated on a soil dataset, having seven categories. The proposed feature selection method selects the 41% relevant features, which provide the highest accuracy of 82.25% with 2.85% increase.","2169-3536","","10.1109/ACCESS.2021.3135536","Robotics and Internet of Things Laboratory, Prince Sultan University, Riyadh, Saudi Arabia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9650855","Soil prediction;feature selection;spider monkey optimization;perturbation rate;smart agriculture","Soil;Feature extraction;Perturbation methods;Optimization;Agriculture;Support vector machines;Prediction algorithms","","12","","52","CCBY","14 Dec 2021","","","IEEE","IEEE Journals"
"An Integrated System for Mapping Red Clover Ground Cover Using Unmanned Aerial Vehicles: A Case Study in Precision Agriculture","A. M. Abuleil; G. W. Taylor; M. Moussa","School of Engineering, University of Guelph, Guelph, Canada; School of Engineering, University of Guelph, Guelph, Canada; School of Engineering, University of Guelph, Guelph, Canada",2015 12th Conference on Computer and Robot Vision,"16 Jul 2015","2015","","","277","284","In the field of precision agriculture (PA), Un-manned Aerial Vehicles (UAVs) are creating new opportunities for remotely assessing various characteristics of crops. In this paper, we present two main contributions that were evaluated on a novel application: mapping red clover ground cover (RCGC). First, we develop an integrated system for collecting, pre-processing and analyzing aerial data for the mapping of RCGC at a patch-level. Second, we collected, ground-trusted, and pre-processed a RCGC dataset that we make public for further analysis. We evaluated several different machine learning classifiers for mapping image patches to discrete clover coverage levels, reaching an accuracy of 91%.","","978-1-4799-1986-4","10.1109/CRV.2015.43","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7158930","precision agriculture;remote sensing;machine learning;red clover;ground cover;classification","Hyperspectral sensors;Agriculture;Support vector machines;Sensors;Global Positioning System;Accuracy;Data collection","","11","","16","IEEE","16 Jul 2015","","","IEEE","IEEE Conferences"
"Low-Power IoT Environmental Monitoring and Smart Agriculture for Unconnected Rural Areas","A. Andreadis; G. Giambene; R. Zambon","CNIT - Department of Information Engineering and Mathematics, University of Siena, Siena, Italy; CNIT - Department of Information Engineering and Mathematics, University of Siena, Siena, Italy; CNIT - Department of Information Engineering and Mathematics, University of Siena, Siena, Italy",2022 20th Mediterranean Communication and Computer Networking Conference (MedComNet),"1 Jul 2022","2022","","","31","38","This paper considers massive IoT devices deployed in remote areas without terrestrial Internet connectivity. IoT devices use sensors for continuously monitoring ground data for smart agriculture and environmental purposes. We connect these sensors to the Internet via an aerial system based on Unmanned Aerial Vehicle (UAV), High-Altitude Platform Station (HAPS), or cubesat. Then, our particular focus is on using a UAV flying over the remote area that receives data from distributed IoT devices on the ground. An opportunistic protocol has been introduced that is based on the synchronization of sensor transmission to be consistent with the UAV pass close to them. A model has allowed validating the applicability of this scheme depending on a set of parameters, including the distance to be covered. Finally, a preliminary experimental testbed has been built to verify a path loss model in a benchmark configuration with the gateway on the ground. This experiment will be replicated using the gateway onboard the UAV.","","978-1-6654-8729-0","10.1109/MedComNet55087.2022.9810376","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9810376","IoT;UAV;LoRa/LoRaWAN;Opportunistic Connectivity","Smart agriculture;Protocols;Distributed databases;Logic gates;Autonomous aerial vehicles;Sensor systems;Internet of Things","","11","","21","IEEE","1 Jul 2022","","","IEEE","IEEE Conferences"
"Real-Time Detection of Cucumber Leaf Diseases Based on Convolution Neural Network","Y. Lou; Z. Hu; M. Li; H. Li; X. Yang; X. Liu; F. Liu","Institute of Intelligent Machines Chinese Academy of Sciences, Hefei, China; Institute of Intelligent Machines Chinese Academy of Sciences, Hefei, China; Institute of Intelligent Machines Chinese Academy of Sciences, Hefei, China; Institute of Intelligent Machines Chinese Academy of Sciences, Hefei, China; Institute of Intelligent Machines Chinese Academy of Sciences, Hefei, China; Institute of Intelligent Machines Chinese Academy of Sciences, Hefei, China; Huanan Industrial Technology Research Institute of Zhejiang University, Guangzhou, China","2021 IEEE 5th Information Technology,Networking,Electronic and Automation Control Conference (ITNEC)","4 Nov 2021","2021","5","","1040","1046","In this paper, we proposed an object detection algorithm based on deep learning for NVIDIA Jetson Xavier NX to detect cucumber leaf diseases in real time. We collected cucumber leaves images from the experimental base of Anhui Academy of Agricultural Sciences, and labeled dataset by VGG Image Annotatort. Based on the one-stage detection network YOLO v5, firstly, the size of anchors were obtained by cluster analysis of the dataset, and a variety of data augmentation was carried out for to enrich the background information, The feature fusion network is improved, and different scale features are given different weights. Based on these optimizations, our model achieved 84.6 mAP on our dataset with 34.7 MB parameters, 4.9 ms inference time on NVIDIA Geforce GTX1080Ti, and 23 FPS with 512×640 resolution on NVIDIA Jetson Xavier NX, being faster than previous detectors, basically met the purpose of real-time.","2693-3128","978-1-6654-1599-6","10.1109/ITNEC52019.2021.9587269","Research and Development; National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9587269","Object Detection;YOLO;Real-Time;Cucumber Leaf Diseases","Deep learning;Image resolution;Neural networks;Object detection;Detectors;Feature extraction;Real-time systems","","11","","22","IEEE","4 Nov 2021","","","IEEE","IEEE Conferences"
"Bacterial Blight and Cotton Leaf Curl Virus Detection Using Inception V4 Based CNN Model for Cotton Crops","S. Anwar; A. R. Kolachi; S. K. Baloch; S. R. Soomro","Dept. of ElectronicEngineering, Mehran University of Engineering & Technology, Jamshoro, Pakistan; Dept. of Mechatronics Engg., Mehran University of Engineering & Technology, Jamshoro, Pakistan; Dept. of Mechatronics Engg., Mehran University of Engineering & Technology, Jamshoro, Pakistan; Dept. of ElectronicEngineering, Mehran University of Engineering & Technology, Jamshoro, Pakistan",2022 IEEE 5th International Conference on Image Processing Applications and Systems (IPAS),"28 Feb 2023","2022","Five","","1","6","Agriculture sector is an important pillar of the global economy. The cotton crop is considered one of the prominent agricultural resources. It is widely cultivated in India, China, Pakistan, USA, Brazil, and other countries of the world. The worldwide cotton crop production is severely affected by numerous diseases such as cotton leaf curl virus (CLCV/CLCuV), bacterial blight, and ball rot. Image processing techniques together with machine learning algorithms are successfully employed in numerous fields and have also used for crop disease detection. In this study, we present a deep learning-based method for classifying diseases of the cotton crop, including bacterial blight and cotton leaf curl virus (CLCV). The dataset of cotton leaves showing disease symptoms is collected from various locations in Sindh, Pakistan. We employ the Inception v4 architecture as a convolutional neural network to identify diseased plant leaves in particular bacterial blight and CLCV. The accuracy of the designed model is 98.26% which shows prominent improvement compared to the existing models and systems.","","978-1-6654-6219-8","10.1109/IPAS55744.2022.10052835","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10052835","cotton crop disease detection;CNN;CLCV;Bacterial Blight detection;Image processing","Training;Learning systems;Machine learning algorithms;Image processing;Crops;Production;Cotton","","10","","24","IEEE","28 Feb 2023","","","IEEE","IEEE Conferences"
"IoT and data interoperability in agriculture: A case study on the gaiasenseTM smart farming solution","N. Kalatzis; N. Marianos; F. Chatzipapadopoulos","NEUROPUBLIC S.A., Piraeus, Greece; NEUROPUBLIC S.A., Piraeus, Greece; NEUROPUBLIC S.A., Piraeus, Greece",2019 Global IoT Summit (GIoTS),"22 Jul 2019","2019","","","1","6","Among the most important challenges towards the digitisation of agriculture is the high cost of technical equipment and the lack of smart farming systems' capability to interoperate. This paper presents the gaiasenseTM solution which follows an innovative approach in offering smart-farming services as an inexpensive service with zero technological related investment for farmers. In addition, the concept of the “Data Interoperability Zone” is introduced along with the “Information Management Adapter” aiming to facilitate data interoperability for smart-farming systems.","","978-1-7281-2171-0","10.1109/GIOTS.2019.8766423","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8766423","smart farming;IoT;interoperability;gaiasense","Interoperability;Agriculture;Investment;Machinery;Europe;Technological innovation;Internet of Things","","10","","13","IEEE","22 Jul 2019","","","IEEE","IEEE Conferences"
"Neural-Kalman GNSS/INS Navigation for Precision Agriculture","Y. Du; S. S. Saha; S. S. Sandha; A. Lovekin; J. Wu; S. Siddharth; M. Chowdhary; M. K. Jawed; M. Srivastava","Department of Mechanical & Aerospace Engineering, University of California, Los Angeles, Los Angeles, CA, United States; Department of Electrical & Computer Engineering, University of California, Los Angeles, Los Angeles, CA, United States; Amazon, Seattle, WA, United States; Department of Mechanical & Aerospace Engineering, University of California, Los Angeles, Los Angeles, CA, United States; Department of Electrical & Computer Engineering, University of California, Los Angeles, Los Angeles, CA, United States; STMicroelectronics, Santa Clara, CA, United States; STMicroelectronics, Santa Clara, CA, United States; Department of Mechanical & Aerospace Engineering, University of California, Los Angeles, Los Angeles, CA, United States; Department of Electrical & Computer Engineering, University of California, Los Angeles, Los Angeles, CA, United States",2023 IEEE International Conference on Robotics and Automation (ICRA),"4 Jul 2023","2023","","","9622","9629","Precision agricultural robots require high-resolution navigation solutions. In this paper, we introduce a robust neural-inertial sequence learning approach to track such robots with ultra-intermittent GNSS updates. First, we propose an ultra-lightweight neural-Kalman filter that can track agricultural robots within 1.4 m (1.4–5.8× better than competing techniques), while tracking within 2.75 m with 20 mins of GPS outage. Second, we introduce a user-friendly video-processing toolbox to generate high-resolution (±5 cm) position data for fine-tuning pre-trained neural-inertial models in the field. Third, we introduce the first and largest (6.5 hours, 4.5 km, 3 phases) public neural-inertial navigation dataset for precision agricultural robots. The dataset, toolbox, and code are available at: https://github.com/nesl/agrobot.","","979-8-3503-2365-8","10.1109/ICRA48891.2023.10161351","Semiconductor Research Corporation (SRC); DARPA; Army Research Laboratory (ARL)(grant numbers:W911NF-17-2-0196); Air Force Office of Scientific Research (AFOSR)(grant numbers:FA9550-22-1-0193); National Science Foundation (NSF)(grant numbers:CNS-1705135,CNS-1822935,IIS-1925360,CNS-2213839,CMMI-2047663); King Abdullah University of Science and Technology (KAUST); National Institute of Food and Agriculture(grant numbers:2021-67022-342000,2021-67022-34200); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10161351","","Agricultural robots;Global navigation satellite system;Codes;Automation;Navigation;Data models;Agriculture","","10","","75","IEEE","4 Jul 2023","","","IEEE","IEEE Conferences"
"A profile-based Big data architecture for agricultural context","S. Lamrhari; H. Elghazi; T. Sadiki; A. El Faker","ENSIAS, Mohammed V University in Rabat; International University of Rabat; International University of Rabat; ENSIAS, Mohammed V University in Rabat",2016 International Conference on Electrical and Information Technologies (ICEIT),"25 Jul 2016","2016","","","22","27","Bringing Big data technologies into agriculture presents a significant challenge; at the same time, this technology contributes effectively in many countries' economic and social development. In this work, we will study environmental data provided by precision agriculture information technologies, which represents a crucial source of data in need of being wisely managed and analyzed with appropriate methods and tools in order to extract the meaningful information. Our main purpose through this paper is to propose an effective Big data architecture based on profiling system which can assist (among others) producers, consulting companies, public bodies and research laboratories to make better decisions by providing them real time data processing, and a dynamic big data service composition method, to enhance and monitor the agricultural productivity. Thus, improve their traditional decision-making process, and allow better management of the natural resources.","","978-1-4673-8469-8","10.1109/EITech.2016.7519585","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7519585","Big data;precision agriculture;profiling system;decision making","Big data;Agriculture;Real-time systems;Computer architecture;Cloud computing;Meteorology;Distributed databases","","9","","14","IEEE","25 Jul 2016","","","IEEE","IEEE Conferences"
"Advancements in Plant Leaf Disease Classification: Integrating Machine Learning and Graph Convolutional Networks for Sustainable Agriculture","R. C. V; D. S; M. BS; S. P. S","Department of CSE, Rajalakshmi Engineering College, Chennai, India; Department of IT, Kalasalingam Academy of Research and Education, Krishnankoil, India; Department of CSE, M.Kumarasamy College of Engineering, Karur, India; Department of CSE, Rajalakshmi Engineering College, Chennai, India","2024 Third International Conference on Intelligent Techniques in Control, Optimization and Signal Processing (INCOS)","16 May 2024","2024","","","1","5","In order to support life on Earth and preserve ecological equilibrium, plants are essential. However, a variety of biotic and abiotic elements constantly pose a threat to them; plant leaves are especially susceptible to illness. The ethology of plant leaf diseases, their consequences on plant health, and mitigation strategies are mined in this research. The categorization of plant leaf diseases both infectious and noninfectious the main topic of discussion. These illnesses threaten global foo d security and ecosystems because of their sensitivity to infections, the environment, and genetics. The significance of effective disease management is emphasized in the article, which takes into account elements like sustainable practices, data driven disease forecasting, and precision agriculture. The application of Artificial Intelligence (AI) and Machine Learning (ML) is touted as a potent technique for classifying plant leaf diseases. The proposed approach, which makes use of graph convolutional networks, offers a fresh way to get around current problems. The importance of high-quality datasets for creating precise decision support systems is covered in the study. It is emphasized how adaptable ML models are, enabling ongoing learning and the identification of novel illnesses. Notwithstanding the progress made, obstacles including class imbalance and massive data problems are recognized, highlighting the necessity of meticulous experimental planning and model training.","","979-8-3503-6118-6","10.1109/INCOS59338.2024.10527696","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10527696","Agriculture;Artificial Intelligence;Machine Learning;Convolutional Neural Network","Training;Adaptation models;Sensitivity;Plants (biology);Biological system modeling;Ecosystems;Machine learning","","9","","13","IEEE","16 May 2024","","","IEEE","IEEE Conferences"
"Advancing Precision Agriculture with Deep Learning and IoT Integration for Effective Tomato Pest Management","M. Zarboubi; S. Chabaa; A. Dliou","LISAD, National School of Applied Sciences, Ibn Zohr University, Agadir, Morocco; LISAD, National School of Applied Sciences, Ibn Zohr University, Agadir, Morocco; LISTI, National School of Applied Sciences, Ibn Zohr University, Agadir, Morocco",2023 IEEE International Conference on Advances in Data-Driven Analytics And Intelligent Systems (ADACIS),"9 Feb 2024","2023","","","1","6","The escalating global demand for agricultural products, notably tomatoes, accentuates the urgency of efficient pest management. Notable pests including Helicoverpa Armigera, Fruit Fly, and Whiteflies present formidable threats to tomato crops. This study introduces an innovative paradigm by seamlessly integrating cutting-edge technologies deep learning and the Internet of Things (IoT) to redefine conventional pest management strategies. Through a portable Pest Counting Device that harnesses the YOLOv8 deep learning model on a Raspberry Pi 4B, in conjunction with the Firebase IoT platform, real-time monitoring of pheromone traps becomes feasible. This integration empowers farmers to optimize pest control measures through informed decision-making. By capitalizing on the synergy between advanced technologies, farmers stand to achieve enhanced crop yields while transforming the landscape of traditional pest management approaches. This holistic solution not only empowers farmers but also mitigates the environmental footprint associated with conventional pest control practices, demonstrating the potential of technology to reshape agriculture towards sustainability in the context of persistent pest challenges.","","979-8-3503-4415-8","10.1109/ADACIS59737.2023.10424149","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10424149","Tomato pests;Pest management;Deep learning;Internet of Things (IoT);Pest detection;Precision agriculture","Deep learning;Biological system modeling;Decision making;Pest control;Real-time systems;Internet of Things;Sustainable development","","9","","36","IEEE","9 Feb 2024","","","IEEE","IEEE Conferences"
